id;id_externo;nombre;descripcion;precio;precio_gratis;dispositivo_id
1;15499;golden wordy slink;across obstruct;18678.18;22520.66;1
2;8400;absent;bah abnegate;18620.36;10402.2;2
3;11658;excited chip shudder;sun readmit;7297.92;23171.35;3
4;9600;profuse;traduce blah exasperation;23869.77;11517.48;4
5;15033;internal;notwithstanding incidentally;2088.32;22625.11;5
6;7820;athwart while;whereas pfft;7117.73;11560.44;6
7;3070;scamper;how dimly;14375.15;2721.04;7
8;4714;inasmuch;versus queasy;32382.54;10712.34;8
9;7197;while enroll gee;mummify;15457.26;7015.19;9
10;17977;wasteful;affectionate merrily inspect;25774.42;10351.26;10
