id;id_externo;codigo;nombre;descripcion;precio_base;moneda
1;2021;how about;fleck bleakly indeed;dead boulevard edge;28020.9;ARS
2;29463;why;ligate polished;substitution;31102.04;ARS
3;17913;broadly tarry;rewrite near;rejigger aside;25553.97;EUR
4;5921;uh-huh rigidly backbone;now moist phony;turbulent;19575.59;EUR
5;23664;lively rekindle;receptor ick;stranger comfortable;14329.38;ARS
6;24452;obvious reluctantly;so vamoose unbearably;um gripper where;1543.17;ARS
7;438;besides;brr;often kookily;25631.04;USD
8;17475;forenenst major while;after;the or hmph;10735.84;USD
9;7522;courtroom;where translation;than;24682.19;ARS
10;8774;idle now;miserably;given excepting throbbing;32126.36;USD
