id;id_externo;codigo;nombre;descripcion;precio_adicional;personalizacion_id
1;26935;border supposing;fruitful;but warmly supplier;11271.08;1
2;11698;hm better pigpen;than;euphonium searchingly;6325.6;2
3;6324;fortunately when sweet;pocket-watch silver an;the;27495.97;3
4;518;drat;correctly vet apologise;geez oof;31544.88;4
5;22804;beneath arid ah;promptly provided;retrospectivity trolley;10091.19;5
6;14014;skateboard strictly;given jagged fibre;underneath closely including;14707.91;6
7;17061;large;quantify;orderly commemorate bruised;15035.29;7
8;8123;sushi following resort;because valiantly astride;uh-huh far-flung;20588.62;8
9;7394;hence;swim boo communicate;ignorant habit;24298.49;9
10;12295;dream sans;while handful times;that galvanize toady;25903.44;10
